state_id,basin,n_cells_total,n_real,n_synth,augmentation_factor,top_vangalen_type,top_vangalen_frac,top_atlas_type,malignant_frac,n_patients,is_rare_state,top_atlas_frac,centroid_phi,centroid_score_norm,basin_depth,width_logdet,D_trace_mean,MFPT_to_mature_monocyte,MFPT_to_primitive_blast,committor_to_mature_monocyte,committor_to_primitive_blast,censored_frac,inherited_from_basin_mean,n_patients_longitudinal,persistence_log2_PR_median,persistence_frac_enriched,top10_overlap,spearman_top10,top5_markers,best_pathway_library,best_pathway_term,best_pathway_adj_p,best_pathway_overlap,lsc_subtype_dominant,lsc_subtype_phase_tag,reproduces,broad_reproduces,enrichment_sig,top_scoring_atlas_ct,enrichment_p,confidence_tier,logrank_p,logrank_q,HR_per_SD,HR_CI_low,HR_CI_high,cox_p,cox_q,delta_C_index,independent,top3_drugs,beataml_top_sensitizer,beataml_rho,beataml_q
A1_basin_edge_0,A1,7758,1293,6465,6.0,Prog-like,0.227,HSPC,0.082,21,True,0.541,-20.838,28.728,8.647,-35.243,11.226,11.23,30.0,0.316,0.008,0.953,False,11.0,-0.4218,0.364,7.0,0.893,"CDK6,LRRC75A-AS1,RPLP0,NPM1,YBX1",MSigDB_Hallmark_2020,heme Metabolism,3.12410168389727e-06,7/200,,,False,False,True,Erythroid,0.0,MODERATE,0.2709699945345343,0.7442515108323873,1.03,0.836,1.269,0.7829260594859153,0.9719400717263436,0.0003,False,"Ralimetinib (LY2228820),PH-797804,cerulenin",GSK-2879552,-0.3262,0.0416197891237584
A0_L1_2,A0,5994,5994,0,1.0,Mono-like,0.403,CD14+ Mono,0.573,21,False,0.393,-23.848,27.551,3.928,-20.461,11.264,13.64,30.0,0.952,0.0,0.537,False,11.0,1.4526,0.545,9.0,1.0,"LYZ,S100A9,S100A8,VCAN,PSAP",Reactome_2022,Neutrophil Degranulation R-HSA-6798695,1.1232394297580702e-17,19/468,,,False,True,True,CD16+ Mono,0.0,HIGH,0.0966596357973057,0.6688663283741271,1.161,0.945,1.426,0.1552248203554928,0.9566288647243548,0.0023,False,"Venetoclax,GSK-2879552,Palbociclib",LY294002,-0.4019,0.0047951942199128
A1_L1_1,A1,5340,5340,0,1.0,T,0.919,,0.003,21,False,0.777,-25.231,26.498,4.253,-51.641,9.773,30.0,30.0,0.013,0.005,0.146,False,11.0,2.4526,0.818,10.0,0.903,"IL7R,RPS25,GIMAP7,RPL17,SYNE2",KEGG_2021_Human,Coronavirus disease,0.0027858237497474,5/232,,,True,True,True,T,0.0,HIGH,0.9032582491121184,0.9032582491121184,0.949,0.761,1.184,0.6446846697055435,0.9566288647243548,0.0049,False,"NVP-AEW541,Metformin,Birinapant",SB-202190,-0.1956,0.3247783278801655
A1_L1_0,A1,3492,3492,0,1.0,Prog-like,0.318,HSPC,0.601,21,False,0.731,-24.354,21.372,5.13,-38.811,11.016,16.68,30.0,0.261,0.001,0.798,False,11.0,-1.9668,0.091,10.0,0.976,"RPLP0,LRRC75A-AS1,RPL17,SPINK2,NPM1",MSigDB_Hallmark_2020,Myc Targets V1,6.248203367794541e-06,7/200,LSC_sub_0,mixed,True,True,True,HSPC,0.0,HIGH,0.2416779308361276,0.7442515108323873,1.159,0.944,1.422,0.1584662389235363,0.9566288647243548,0.002,False,"Venetoclax,GSK-2879552,IKK3-inhibitor-IX",XMD 8-87,-0.2538,0.370819666638872
A1_L1_5,A1,2814,2814,0,1.0,NK,0.557,,0.002,21,False,0.728,-22.915,28.044,6.569,-53.673,11.187,30.0,30.0,0.05,0.007,0.521,False,11.0,1.4994,0.818,10.0,0.964,"CCL5,SYNE2,GNLY,GZMA,SYNE1",Reactome_2022,Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,2.2470727375708362e-07,7/123,,,False,True,True,NK,0.0,HIGH,0.5600555376757199,0.8254228368681856,1.022,0.82,1.276,0.8438592096771569,0.9719400717263436,-0.0007,False,"Ranolazine,Perhexiline maleate,IKK3-inhibitor-IX",GSK-2879552,-0.1949,0.3299729754100534
A0_L1_6,A0,2679,2679,0,1.0,ProMono,0.318,ProMono,0.373,21,False,0.642,-20.594,28.785,7.182,-50.115,12.592,17.1,30.0,0.858,0.0,0.822,False,11.0,1.4034,0.727,9.0,0.983,"LYZ,SRGN,RNASE2,CSTA,MNDA",Reactome_2022,Neutrophil Degranulation R-HSA-6798695,1.1232394297580702e-17,19/468,,,True,True,True,ProMono,0.0,HIGH,0.5832292207987082,0.8254228368681856,1.089,0.889,1.332,0.4103997678347088,0.9566288647243548,0.0043,False,"LY-333531,Venetoclax,XMD 8-87",Staurosporine,-0.2762,0.1005644898340835
A1_L1_4,A1,2241,2241,0,1.0,Prog-like,0.324,HSPC,0.57,21,False,0.712,-21.662,20.512,7.822,-40.283,12.344,17.53,30.0,0.331,0.001,0.914,False,11.0,-1.6503,0.182,10.0,0.964,"STMN1,TUBA1B,TUBB,HMGB1,PCLAF",MSigDB_Hallmark_2020,E2F Targets,1.9895915876191264e-19,16/200,LSC_sub_1,cycling,False,False,True,ProB,0.0,MODERATE,0.3109239833891777,0.7442515108323873,1.075,0.858,1.347,0.5281953709811456,0.9566288647243548,0.0007,False,"Metformin,NVP-AEW541,Venetoclax",Ralimetinib (LY2228820),-0.2804,0.3241487418424713
A1_L1_3,A1,2126,2126,0,1.0,Prog-like,0.239,HSPC,0.629,21,False,0.742,-22.297,23.132,7.187,-49.426,12.018,10.15,30.0,0.327,0.001,0.867,False,11.0,-2.0943,0.091,8.0,1.0,"MALAT1,NEAT1,CDK6,GUCY1A3,SOX4",Reactome_2022,PD-1 Signaling R-HSA-389948,0.0041594015638566,2/21,,,True,True,True,HSPC,0.0,HIGH,0.3634106263866389,0.7442515108323873,1.013,0.818,1.253,0.9085526757441909,0.9719400717263436,0.0,False,"Selinexor,Venetoclax,CHEMBL-1222381",PH-797804,-0.2224,0.4567350740374767
A0_L1_11,A0,1148,1148,0,1.0,Plasma,0.943,,0.01,17,False,0.745,-22.373,23.254,5.403,5.247,11.262,16.05,30.0,0.563,0.0,0.931,False,9.0,1.5424,0.778,10.0,1.0,"SSR4,SEC11C,TXNDC5,MZB1,HSP90B1",KEGG_2021_Human,Protein processing in endoplasmic reticulum,9.582811975686938e-08,8/171,,,True,True,True,Plasma,0.0,HIGH,0.2892717494820552,0.7442515108323873,0.898,0.699,1.152,0.3958939201434742,0.9566288647243548,0.002,False,"XMD 8-87,Baiclein,PRIMA1",NVP-AEW541,-0.2348,0.4265131045075891
A1_L1_10,A1,1104,1104,0,1.0,T,0.563,,0.097,21,False,0.47,-22.708,24.573,6.776,-25.635,11.232,14.01,30.0,0.185,0.002,0.509,False,11.0,0.4475,0.545,9.0,0.933,"RNA28S,RNA18S,IL7R,RNA5-8S,SYNE2",MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.0001022047170081,6/200,,,True,True,True,T,0.0,HIGH,0.1308651512036335,0.6688663283741271,1.008,0.817,1.244,0.9410950884458174,0.982955145284546,-0.0026,False,"Nilotinib,JQ1,OTX-015",BMS-754807,-0.3613,0.1597447219217987
