state_id,basin,n_real,centroid_phi,centroid_score_norm,basin_depth,width_logdet,hessian_n_negative_eigs,D_trace_mean,MFPT_to_mature_monocyte,MFPT_to_primitive_blast,committor_to_mature_monocyte,committor_to_primitive_blast,first_hit_mature_monocyte,first_hit_primitive_blast,censored_frac,inherited_from_basin_mean
A1_basin_edge_0,A1,1293,-20.838,28.728,8.647,-35.243,6.0,11.226,11.23,30.0,0.316,0.008,0.002,0.0,0.953,False
A0_L1_2,A0,5994,-23.848,27.551,3.928,-20.461,5.0,11.264,13.64,30.0,0.952,0.0,0.462,0.0,0.537,False
A1_L1_1,A1,5340,-25.231,26.498,4.253,-51.641,7.0,9.773,30.0,30.0,0.013,0.005,0.0,0.0,0.146,False
A1_L1_0,A1,3492,-24.354,21.372,5.13,-38.811,6.0,11.016,16.68,30.0,0.261,0.001,0.002,0.0,0.798,False
A1_L1_5,A1,2814,-22.915,28.044,6.569,-53.673,7.0,11.187,30.0,30.0,0.05,0.007,0.0,0.0,0.521,False
A0_L1_6,A0,2679,-20.594,28.785,7.182,-50.115,7.0,12.592,17.1,30.0,0.858,0.0,0.17,0.0,0.822,False
A1_L1_4,A1,2241,-21.662,20.512,7.822,-40.283,6.0,12.344,17.53,30.0,0.331,0.001,0.007,0.0,0.914,False
A1_L1_3,A1,2126,-22.297,23.132,7.187,-49.426,7.0,12.018,10.15,30.0,0.327,0.001,0.006,0.0,0.867,False
A0_L1_11,A0,1148,-22.373,23.254,5.403,5.247,3.0,11.262,16.05,30.0,0.563,0.0,0.024,0.0,0.931,False
A1_L1_10,A1,1104,-22.708,24.573,6.776,-25.635,5.0,11.232,14.01,30.0,0.185,0.002,0.01,0.0,0.509,False
A0_L1_8,A0,1055,-22.225,24.914,5.551,-36.23,6.0,11.262,14.47,30.0,0.672,0.0,0.166,0.0,0.785,False
A1_L1_7,A1,810,-20.938,25.791,8.547,-17.378,5.0,13.111,21.76,30.0,0.366,0.001,0.003,0.0,0.955,False
A1_L1_9,A1,782,-23.186,24.708,6.299,-20.925,5.0,11.403,18.34,30.0,0.508,0.0,0.053,0.0,0.908,False
A3_L1_1,A3,759,-25.035,26.489,-15.116,-56.42,7.0,9.81,30.0,30.0,0.025,0.004,0.0,0.0,0.299,False
A1_L1_12,A1,546,-17.7,25.084,11.784,-35.249,6.0,16.895,30.0,30.0,0.525,0.005,0.0,0.0,0.994,False
A3_L1_0,A3,450,-24.331,21.127,-14.412,-39.883,6.0,10.804,23.88,30.0,0.209,0.006,0.001,0.0,0.71,False
A2_L1_0,A2,415,-24.16,22.579,-11.762,-38.871,6.0,11.048,26.85,30.0,0.309,0.002,0.003,0.0,0.867,False
A3_L1_5,A3,352,-23.416,26.731,-13.496,-41.187,6.0,11.197,30.0,30.0,0.043,0.008,0.0,0.0,0.528,False
A1_L1_8,A1,343,-20.331,25.258,9.154,-51.258,7.0,12.535,15.54,30.0,0.366,0.002,0.028,0.0,0.862,False
A2_L1_3,A2,334,-22.155,22.744,-9.757,-38.515,6.0,11.953,18.13,30.0,0.403,0.003,0.028,0.0,0.875,False
A3_L1_7,A3,330,-22.213,19.868,-12.293,-15.599,5.0,12.321,25.62,30.0,0.297,0.005,0.001,0.0,0.969,False
A1_L1_14,A1,313,-20.367,27.808,9.118,-7.356,4.0,12.583,17.05,30.0,0.263,0.002,0.012,0.0,0.754,False
A1_L1_13,A1,311,-17.526,35.386,11.958,-50.47,7.0,14.9,17.59,30.0,0.361,0.019,0.007,0.0,0.963,False
A1_L1_16,A1,301,-19.828,26.205,9.656,-10.718,4.0,14.46,16.96,30.0,0.3,0.001,0.002,0.0,0.926,False
A2_L1_4,A2,290,-21.541,20.702,-9.143,-39.327,6.0,12.093,21.08,30.0,0.354,0.001,0.009,0.0,0.918,False
A1_L1_15,A1,275,-20.743,27.419,8.741,-34.762,6.0,12.684,26.43,30.0,0.384,0.001,0.003,0.0,0.968,False
A3_L1_4,A3,218,-21.891,20.35,-11.972,-40.586,6.0,12.097,17.84,30.0,0.343,0.001,0.002,0.0,0.939,False
A3_L1_3,A3,197,-22.526,22.347,-12.607,-48.846,7.0,11.967,13.7,30.0,0.36,0.0,0.009,0.0,0.905,False
A1_L1_6,A1,196,-19.585,28.101,9.899,-48.182,7.0,12.846,16.51,30.0,0.521,0.003,0.049,0.0,0.903,False
A3_L1_10,A3,152,-23.203,25.911,-13.284,-37.071,6.0,11.027,24.48,28.44,0.086,0.001,0.001,0.001,0.422,False
A0_L1_4,A0,133,-20.129,24.338,7.647,-34.807,6.0,12.802,17.44,30.0,0.518,0.003,0.051,0.0,0.927,False
A0_L1_9,A0,131,-23.155,26.546,4.621,-5.034,4.0,12.289,15.31,30.0,0.65,0.0,0.128,0.0,0.843,False
A2_L1_12,A2,113,-17.106,27.878,-4.709,-50.976,7.0,16.41,30.0,30.0,0.454,0.003,0.0,0.0,0.97,False
A2_L1_9,A2,109,-22.272,25.455,-9.874,-22.761,5.0,11.908,17.57,30.0,0.433,0.002,0.046,0.0,0.911,False
A3_L1_13,A3,96,-19.686,32.229,-9.767,-19.298,5.0,13.269,18.59,30.0,0.422,0.006,0.003,0.0,0.966,False
A3_L1_9,A3,86,-22.66,26.205,-12.74,-19.569,5.0,11.556,18.7,30.0,0.472,0.001,0.037,0.0,0.935,False
A1_L1_2,A1,79,-15.381,28.17,14.104,-79.833,9.0,14.925,14.1,30.0,0.505,0.012,0.039,0.0,0.921,False
A0_L1_13,A0,75,-17.39,27.777,10.386,-49.987,7.0,15.225,16.74,30.0,0.509,0.0,0.042,0.0,0.913,False
A2_L1_7,A2,66,-19.845,31.058,-7.447,-22.786,5.0,13.991,30.0,30.0,0.361,0.006,0.0,0.0,0.952,False
A3_L1_8,A3,54,-20.916,23.42,-10.997,-39.448,6.0,12.427,15.6,30.0,0.383,0.003,0.023,0.0,0.888,False
A3_L1_14,A3,47,-19.252,30.799,-9.333,-19.683,5.0,12.97,18.36,30.0,0.29,0.002,0.023,0.0,0.714,False
A0_L1_3,A0,44,-19.15,26.268,8.626,-51.445,7.0,12.761,16.09,30.0,0.559,0.0,0.079,0.0,0.865,False
A3_L1_15,A3,43,-20.505,25.053,-10.586,-22.998,5.0,12.405,23.28,30.0,0.346,0.0,0.005,0.0,0.931,False
