group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
A0_L1_11,SSR4,53.35805,5.1998563,0.0,0.0,0.9825783972125436,0.42084321260185864
A0_L1_11,SEC11C,50.051903,6.3303127,0.0,0.0,0.9224738675958188,0.13100591393453792
A0_L1_11,TXNDC5,48.976463,7.4799786,0.0,0.0,0.867595818815331,0.0452947428664868
A0_L1_11,MZB1,47.61151,7.698147,0.0,0.0,0.8440766550522648,0.0339029242634835
A0_L1_11,HSP90B1,44.570908,3.9564755,0.0,0.0,0.975609756097561,0.5665930831493745
A0_L1_11,SLAMF7,43.393703,6.937839,0.0,0.0,0.7813588850174216,0.02752568609816586
A0_L1_11,RNA18S,42.152065,1.1394036,0.0,0.0,1.0,0.999918240536342
A0_L1_11,ELL2,41.325146,6.025599,0.0,0.0,0.759581881533101,0.057722181342490395
A0_L1_11,IGLL5,41.06033,7.877044,0.0,0.0,0.7386759581881533,0.039789605646853625
A0_L1_11,ELK2AP,40.78971,9.989774,0.0,0.0,0.710801393728223,0.0122911727032404
A0_L1_11,PRDX4,40.389835,5.2384067,0.0,0.0,0.7709059233449478,0.10410705039108277
A0_L1_11,FAM46C,37.50707,5.518442,7.064269510378723e-308,1.7660673775946807e-305,0.7020905923344948,0.05483334695991061
A0_L1_11,HERPUD1,35.664402,4.9727054,1.4094174293125088e-278,3.2525017599519436e-276,0.6846689895470384,0.07570926334723244
A0_L1_11,FKBP11,33.681225,5.165644,1.088804895563763e-248,2.333153347636635e-246,0.6350174216027874,0.05077262693156733
A0_L1_11,DNAJC1,33.33938,3.8980274,1.0383914056121858e-243,2.0767828112243716e-241,0.725609756097561,0.15945820728749352
A0_L1_11,PLPP5,33.043343,4.6407685,1.938887956655685e-239,3.6354149187294094e-237,0.6437282229965157,0.07170304962799444
A0_L1_11,ANKRD36BP2,32.803013,6.2863293,5.333602346665994e-236,8.421477389472621e-234,0.5888501742160279,0.023219687678848827
A0_L1_11,CCPG1,32.087666,3.822237,6.552677257967617e-226,9.829015886951426e-224,0.6933797909407665,0.1529447033494127
