state_id,top10_overlap,spearman_top10,real_top5,aug_top5
A1_basin_edge_0,7,0.893,"CDK6,LRRC75A-AS1,RPLP0,NPM1,YBX1","CDK6,LRRC75A-AS1,RPLP0,NPM1,HSPD1"
A0_L1_2,9,1.0,"LYZ,S100A9,S100A8,VCAN,PSAP","LYZ,S100A9,S100A8,VCAN,PSAP"
A1_L1_1,10,0.903,"IL7R,RPS25,GIMAP7,RPL17,SYNE2","IL7R,RPS25,GIMAP7,SYNE2,CD3D"
A1_L1_0,10,0.976,"RPLP0,LRRC75A-AS1,RPL17,SPINK2,NPM1","RPLP0,LRRC75A-AS1,RPL17,SPINK2,RPS25"
A1_L1_5,10,0.964,"CCL5,SYNE2,GNLY,GZMA,SYNE1","CCL5,SYNE2,GNLY,GZMA,SYNE1"
A0_L1_6,9,0.983,"LYZ,SRGN,RNASE2,CSTA,MNDA","LYZ,SRGN,RNASE2,CSTA,MNDA"
A1_L1_4,10,0.964,"STMN1,TUBA1B,TUBB,HMGB1,PCLAF","STMN1,TUBA1B,TUBB,PCLAF,HMGB1"
A1_L1_3,8,1.0,"MALAT1,NEAT1,CDK6,GUCY1A3,SOX4","MALAT1,NEAT1,CDK6,GUCY1A3,SOX4"
A0_L1_11,10,1.0,"SSR4,SEC11C,TXNDC5,MZB1,HSP90B1","SSR4,SEC11C,TXNDC5,MZB1,HSP90B1"
A1_L1_10,9,0.933,"RNA28S,RNA18S,IL7R,RNA5-8S,SYNE2","RNA28S,RNA18S,IL7R,RNA5-8S,SYNE2"
A0_L1_8,10,0.988,"HLA-DRA,HLA-DPA1,CST3,SAMHD1,NAPSB","HLA-DRA,HLA-DPA1,CST3,SAMHD1,NAPSB"
A1_L1_7,10,0.964,"HBB,HMGB1,HBD,CA1,TFRC","HBB,HMGB1,HBD,CA1,TFRC"
A1_L1_9,10,0.842,"ELANE,CALR,AZU1,LRRC75A-AS1,PRTN3","ELANE,AZU1,CALR,SRGN,PRTN3"
A3_L1_1,10,0.867,"IL7R,RPS25,GIMAP7,RPL17,SYNE2","IL7R,RPS25,GIMAP7,SYNE2,SLFN5"
A1_L1_12,9,1.0,"PLEK,SOX4,GATA2,SLC40A1,RGS18","PLEK,SOX4,GATA2,SLC40A1,RGS18"
A3_L1_0,10,0.891,"RPLP0,LRRC75A-AS1,RPL17,RPS25,SPINK2","RPLP0,LRRC75A-AS1,RPL17,RPS25,SPINK2"
A2_L1_0,10,0.818,"RPLP0,LRRC75A-AS1,CDK6,RPL17,GAPDH","RPLP0,LRRC75A-AS1,RPL17,CDK6,SPINK2"
A3_L1_5,9,0.95,"CCL5,SYNE2,GZMA,GNLY,SYNE1","CCL5,SYNE2,GZMA,GNLY,SYNE1"
A1_L1_8,10,0.988,"HLA-DRA,HLA-DPA1,SAMHD1,NAPSB,FLT3","HLA-DRA,HLA-DPA1,SAMHD1,NAPSB,FLT3"
A2_L1_3,10,0.988,"MALAT1,NEAT1,CDK6,FLT3,GUCY1A3","MALAT1,NEAT1,CDK6,FLT3,GUCY1A3"
A3_L1_7,10,1.0,"HBB,AHSP,HBD,CA1,HMGB1","HBB,AHSP,HBD,CA1,HMGB1"
A1_L1_14,10,0.952,"MS4A1,HLA-DRA,BANK1,BIRC3,RNA28S","MS4A1,HLA-DRA,BANK1,BIRC3,RNA28S"
A1_L1_13,10,1.0,"HBB,HBA2,HBA1,HBD,AHSP","HBB,HBA2,HBA1,HBD,AHSP"
A1_L1_16,9,0.967,"HMGB2,MKI67,STMN1,HMGN2,HIST1H4C","HMGB2,MKI67,HMGN2,STMN1,HIST1H4C"
A2_L1_4,10,0.927,"STMN1,TUBB,TUBA1B,DUT,HMGB1","STMN1,TUBB,TUBA1B,DUT,HMGB1"
A1_L1_15,9,0.917,"CENPF,HMGB1,HMGN2,CALR,HSP90AA1","CENPF,HMGN2,HMGB1,CALR,HMGB2"
A3_L1_4,10,1.0,"STMN1,TUBB,TUBA1B,HIST1H4C,PCLAF","STMN1,TUBB,TUBA1B,HIST1H4C,PCLAF"
A3_L1_3,9,0.983,"MALAT1,NEAT1,FLT3,CDK6,SOX4","MALAT1,NEAT1,FLT3,SOX4,CDK6"
A1_L1_6,9,0.917,"SRGN,LYZ,HMGN2,FABP5,RNASE2","SRGN,LYZ,HMGN2,RNASE2,FABP5"
A3_L1_10,10,0.952,"RNA28S,RNA18S,IL7R,SLFN5,GIMAP7","RNA28S,RNA18S,IL7R,SLFN5,GIMAP7"
A0_L1_4,10,0.867,"STMN1,PCLAF,DUT,TUBB,H2AFZ","PCLAF,STMN1,H2AFZ,TUBB,TUBA1B"
A0_L1_9,10,1.0,"SRGN,ELANE,RNASE2,LYZ,CTSG","SRGN,ELANE,RNASE2,LYZ,CTSG"
A2_L1_12,9,0.883,"GATA2,SOX4,CPA3,PLEK,CDK6","GATA2,SOX4,CPA3,PLEK,FCER1A"
A2_L1_9,9,0.85,"ELANE,AZU1,CALR,LRRC75A-AS1,SRGN","ELANE,AZU1,SRGN,CALR,MPO"
A3_L1_13,10,1.0,"HBB,HBA2,HBA1,HBD,AHSP","HBB,HBA2,HBA1,HBD,AHSP"
A3_L1_9,10,0.903,"ELANE,NUCB2,MPO,SRGN,CALR","ELANE,SRGN,MPO,NUCB2,CALR"
A1_L1_2,10,0.952,"LYZ,SRGN,CFD,S100A9,TYROBP","LYZ,SRGN,S100A9,CFD,S100A8"
A0_L1_13,8,0.929,"HBB,HBA2,HBG2,HBD,HBG1","HBB,HBA2,HBG2,S100A8,HBD"
A2_L1_7,10,0.915,"HBD,HMGB1,NCL,YBX1,REXO2","HBD,HMGB1,NCL,YBX1,REXO2"
A3_L1_8,10,0.939,"HLA-DRA,HLA-DPA1,FLT3,TYROBP,CYBB","HLA-DRA,HLA-DPA1,CYBB,TYROBP,FLT3"
A3_L1_14,10,1.0,"MS4A1,HLA-DRA,BIRC3,CD69,BANK1","MS4A1,HLA-DRA,BIRC3,CD69,BANK1"
A0_L1_3,10,0.939,"MALAT1,RNA18S,RNA28S,LYZ,NEAT1","MALAT1,RNA28S,LYZ,RNA18S,NEAT1"
A3_L1_15,9,0.933,"HMGN2,CENPF,HMGB1,CALR,HSPA5","HMGN2,CENPF,HMGB1,CALR,HSPA5"
A1_L1_11,9,0.983,"IGLL5,HSP90B1,TXNDC5,SSR4,SEC11C","IGLL5,HSP90B1,TXNDC5,SSR4,SLAMF7"
A2_L1_15,10,0.976,"HMGB1,HMGN2,CENPF,RPLP0,BIRC5","HMGB1,HMGN2,CENPF,BIRC5,RPLP0"
