state_id,n_patients,median_log2_PR,mean_log2_PR,n_pre_total,n_post_total,frac_patients_enriched
A1_L1_16,9,2.6716,2.2948888888888894,10,256,0.778
A3_L1_7,10,2.49225,2.3287,14,160,0.9
A1_L1_1,11,2.4526,2.387472727272727,303,4145,0.818
A3_L1_1,11,2.0844,1.5760636363636364,51,559,0.727
A3_L1_5,9,2.0093,2.2857333333333334,15,272,1.0
A1_L1_7,11,1.8917,1.9261454545454546,55,349,0.727
A2_L1_8,3,1.8139,0.8001000000000001,1,4,0.667
A1_L1_11,6,1.80085,1.1167833333333335,2,38,0.833
A0_L1_11,9,1.5424,1.3633777777777778,212,855,0.778
A1_L1_5,11,1.4994,1.9617000000000002,195,2048,0.818
A0_L1_2,11,1.4526,0.4050363636363636,2301,1649,0.545
A3_L1_13,10,1.4495500000000001,1.00283,18,73,0.8
A0_L1_6,11,1.4034,1.2985727272727272,688,630,0.727
A2_L1_16,3,1.3988,0.8473,1,5,0.667
A3_L1_18,2,1.3324,1.3324,0,2,0.5
A0_L1_13,8,1.08315,0.8756375000000001,5,67,0.625
A0_L1_8,10,0.883,0.06003999999999996,233,197,0.6
A2_L1_11,1,0.8139,0.8139,0,1,1.0
A0_L1_7,3,0.8139,0.8684,0,6,1.0
A1_basin_edge_1,3,0.8139,0.7207333333333333,0,6,0.667
A3_L1_10,10,0.71385,0.40160999999999997,13,74,0.7
A2_L1_6,3,0.5255,0.2297,6,2,0.667
A1_L1_10,11,0.4475,0.48120909090909086,100,519,0.545
A2_L1_14,2,0.36434999999999995,0.36434999999999995,0,2,0.5
A2_L1_13,6,0.27935,-0.4708333333333334,3,5,0.667
A0_L1_17,6,0.22014999999999998,-0.20274999999999999,12,10,0.5
A3_L1_16,3,0.2025,0.3198666666666667,1,15,0.667
A1_L1_13,11,0.1917,0.8912727272727271,82,215,0.636
A1_basin_edge_4,2,0.18815000000000004,0.18815000000000004,1,8,0.5
A0_L1_10,5,0.1731,-0.09086000000000002,4,4,0.6
A3_L1_17,1,0.1731,0.1731,0,1,1.0
A0_L1_16,1,0.1731,0.1731,0,1,1.0
A0_L1_12,1,0.0867,0.0867,2,0,1.0
A0_L1_14,4,0.08315,0.22375,1,6,0.5
A0_L1_1,6,0.04395,-0.26994999999999997,1,6,0.5
A2_L1_12,8,0.043649999999999994,-0.36691250000000003,22,46,0.5
A1_L1_18,6,0.03995,-0.159,5,10,0.5
A2_L1_7,7,-0.0068,0.5381571428571428,2,25,0.429
A3_L1_8,4,-0.13565,0.44047500000000006,1,5,0.25
A3_L1_11,2,-0.2338,-0.2338,0,3,0.0
A1_L1_14,9,-0.2439,-0.2776222222222222,42,80,0.333
A1_L1_8,9,-0.2439,0.11506666666666662,18,52,0.444
A1_basin_edge_3,3,-0.2439,0.09693333333333336,3,5,0.333
A1_L1_12,9,-0.2629,0.003844444444444416,114,251,0.444
A1_L1_2,10,-0.27985,-0.33094999999999997,28,22,0.3
A3_L1_9,7,-0.3284,-0.7421,22,11,0.143
A1_L1_6,9,-0.3414,-0.2828,46,30,0.444
A3_L1_12,3,-0.4118,-0.0788,5,12,0.333
A1_basin_edge_0,11,-0.4218,-0.7230454545454545,290,301,0.364
A0_L1_0,4,-0.5497,-0.891675,5,0,0.5
A0_L1_5,4,-0.57675,-1.05095,2,3,0.25
A3_L1_14,5,-0.6384,-0.55236,5,10,0.4
A2_L1_10,4,-0.6543,-1.0487250000000001,7,4,0.25
A3_L1_4,8,-0.6856,-0.8810125,45,33,0.25
A1_L1_17,2,-0.6861,-0.6861,14,12,0.5
A3_L1_6,2,-0.70475,-0.70475,1,2,0.0
A3_L1_15,6,-0.7068,-0.6282333333333333,7,14,0.5
A2_L1_15,4,-0.8642,-0.8961749999999999,7,16,0.5
A2_L1_0,11,-0.9156,-1.579918181818182,92,76,0.182
A3_L1_3,11,-0.9156,-1.4917090909090909,66,45,0.364
A0_L1_4,9,-0.9674,-0.7288,31,16,0.222
A3_L1_2,3,-0.9674,-0.5512666666666667,3,4,0.333
A0_L1_9,7,-1.0595,-1.2911142857142859,49,11,0.143
A1_L1_9,10,-1.1141,-1.3844699999999999,253,96,0.3
A0_L1_15,3,-1.1861,-0.5793,2,1,0.333
A3_L1_0,10,-1.19505,-1.2036099999999998,85,97,0.2
A2_L1_1,1,-1.2234,-1.2234,0,1,0.0
A0_L1_3,6,-1.23365,-1.3474166666666667,23,4,0.333
A2_L1_3,10,-1.2536999999999998,-1.30228,129,48,0.1
A1_L1_15,8,-1.4671,-1.17925,71,66,0.25
A2_L1_4,11,-1.5006,-0.9261727272727271,69,39,0.273
A1_L1_4,11,-1.6503,-1.4505000000000001,463,283,0.182
A1_basin_edge_2,2,-1.72695,-1.72695,2,4,0.5
A1_L1_0,11,-1.9668,-2.087190909090909,666,626,0.091
A2_L1_9,9,-2.0068,-1.370988888888889,39,12,0.333
A2_L1_2,3,-2.0852,-1.4982333333333333,3,2,0.0
A1_L1_3,11,-2.0943,-2.617918181818182,727,378,0.091
