state_id,basin,n_cells_total,n_real,n_synth,augmentation_factor,top_vangalen_type,top_vangalen_frac,top_atlas_type,top_atlas_frac,malignant_frac,n_patients,is_rare_state
A1_basin_edge_0,A1,7758,1293,6465,6.0,Prog-like,0.227,HSPC,0.541,0.082,21,True
A0_L1_2,A0,5994,5994,0,1.0,Mono-like,0.403,CD14+ Mono,0.393,0.573,21,False
A1_L1_1,A1,5340,5340,0,1.0,T,0.919,nan,0.777,0.003,21,False
A1_L1_0,A1,3492,3492,0,1.0,Prog-like,0.318,HSPC,0.731,0.601,21,False
A1_L1_5,A1,2814,2814,0,1.0,NK,0.557,nan,0.728,0.002,21,False
A0_L1_6,A0,2679,2679,0,1.0,ProMono,0.318,ProMono,0.642,0.373,21,False
A1_L1_4,A1,2241,2241,0,1.0,Prog-like,0.324,HSPC,0.712,0.57,21,False
A1_L1_3,A1,2126,2126,0,1.0,Prog-like,0.239,HSPC,0.742,0.629,21,False
A0_L1_11,A0,1148,1148,0,1.0,Plasma,0.943,nan,0.745,0.01,17,False
A1_L1_10,A1,1104,1104,0,1.0,T,0.563,nan,0.47,0.097,21,False
A0_L1_8,A0,1055,1055,0,1.0,cDC-like,0.668,cDC,0.641,0.69,20,False
A1_L1_7,A1,810,810,0,1.0,earlyEry,0.479,Erythroid,0.496,0.032,21,False
A1_L1_9,A1,782,782,0,1.0,GMP-like,0.465,GMP,0.454,0.57,20,False
A3_L1_1,A3,759,759,0,1.0,T,0.881,nan,0.736,0.003,19,False
A1_L1_12,A1,546,546,0,1.0,earlyEry,0.288,nan,0.463,0.357,17,False
A3_L1_0,A3,450,450,0,1.0,Prog-like,0.307,HSPC,0.691,0.567,18,False
A2_L1_0,A2,415,415,0,1.0,Prog-like,0.398,HSPC,0.711,0.716,19,False
A3_L1_5,A3,352,352,0,1.0,NK,0.52,nan,0.773,0.009,16,False
A1_L1_8,A1,343,343,0,1.0,cDC-like,0.376,cDC,0.431,0.56,19,False
A2_L1_3,A2,334,334,0,1.0,Prog-like,0.237,HSPC,0.793,0.68,19,False
A3_L1_7,A3,330,330,0,1.0,lateEry,0.679,Erythroid,0.509,0.003,16,False
A1_L1_14,A1,313,313,0,1.0,B,0.847,B,0.633,0.01,18,False
A1_L1_13,A1,311,311,0,1.0,lateEry,0.852,nan,0.695,0.013,15,False
A1_L1_16,A1,301,301,0,1.0,T,0.475,nan,0.85,0.02,14,False
A2_L1_4,A2,290,290,0,1.0,Prog-like,0.355,HSPC,0.738,0.572,21,False
A1_L1_15,A1,275,275,0,1.0,Prog-like,0.32,HSPC,0.629,0.571,16,False
A3_L1_4,A3,218,218,0,1.0,Prog-like,0.362,HSPC,0.72,0.587,16,False
A3_L1_3,A3,197,197,0,1.0,HSC-like,0.234,HSPC,0.68,0.558,18,False
A1_L1_6,A1,196,196,0,1.0,GMP-like,0.173,HSPC,0.367,0.602,19,False
A3_L1_10,A3,152,152,0,1.0,T,0.664,nan,0.487,0.046,16,False
A0_L1_4,A0,133,133,0,1.0,cDC-like,0.301,HSPC,0.466,0.602,17,False
A0_L1_9,A0,131,131,0,1.0,ProMono-like,0.321,GMP,0.389,0.565,15,False
A2_L1_12,A2,113,113,0,1.0,earlyEry,0.265,nan,0.407,0.389,17,False
A2_L1_9,A2,109,109,0,1.0,GMP-like,0.413,GMP,0.376,0.56,16,False
A3_L1_13,A3,96,96,0,1.0,lateEry,1.0,nan,0.76,0.0,13,False
A3_L1_9,A3,86,86,0,1.0,GMP-like,0.407,GMP,0.43,0.523,15,False
A1_L1_2,A1,79,79,0,1.0,ProMono-like,0.19,HSPC,0.304,0.595,18,False
A0_L1_13,A0,75,75,0,1.0,lateEry,0.427,nan,0.893,0.027,10,False
A1_basin_edge_3,A1,72,12,60,6.0,B,1.0,B,0.583,0.0,6,True
A2_L1_7,A2,66,66,0,1.0,earlyEry,0.818,Erythroid,0.5,0.03,14,False
A1_basin_edge_4,A1,63,9,54,7.0,HSC-like,0.444,nan,0.889,0.063,2,True
A1_basin_edge_1,A1,60,6,54,10.0,lateEry,1.0,nan,1.0,0.0,3,True
A3_L1_8,A3,54,54,0,1.0,cDC-like,0.333,cDC,0.352,0.556,13,False
