state_id,library,term,p_value,adj_p_value,overlap,overlap_genes
A1_basin_edge_0,MSigDB_Hallmark_2020,Myc Targets V1,6.248203367794541e-07,6.248203367794541e-06,7/200,"DUT,HNRNPC,HSPD1,NPM1,RPLP0,SRSF3,YWHAE"
A1_basin_edge_0,MSigDB_Hallmark_2020,heme Metabolism,6.248203367794541e-07,3.1241016838972706e-06,7/200,"AHSP,CA1,CAT,GYPC,HBD,TFRC,UROD"
A1_basin_edge_0,MSigDB_Hallmark_2020,E2F Targets,1.0220471700815356e-05,3.406823900271785e-05,6/200,"DUT,PAICS,SMC4,STMN1,TFRC,TUBB"
A0_L1_2,Reactome_2022,Neutrophil Degranulation R-HSA-6798695,1.1232394297580702e-18,1.1232394297580702e-17,19/468,"ANXA2,C5AR1,CD36,CST3,CTSS,CYBB,FCN1,FGL2,IQGAP1,LGALS3,LYZ,MNDA,PECAM1,RNASE2,S100A12,S100A8,S100A9,SERPINA1,TYROBP"
A0_L1_2,Reactome_2022,Innate Immune System R-HSA-168249,1.2920717119125982e-14,6.460358559562991e-14,21/1035,"ANXA2,C5AR1,CD36,CLEC7A,CST3,CTSS,CYBB,FCN1,FGL2,FOS,IQGAP1,LGALS3,LYZ,MNDA,PECAM1,RNASE2,S100A12,S100A8,S100A9,SERPINA1,TYROBP"
A0_L1_2,Reactome_2022,Immune System R-HSA-168256,4.332008596843662e-12,1.444002865614554e-11,24/1943,"ANXA2,C5AR1,CD36,CLEC7A,CST3,CTSS,CYBB,FCN1,FGL2,FOS,IFI30,IQGAP1,LGALS3,LYZ,MNDA,PECAM1,RNASE2,S100A12,S100A8,S100A9,SAMHD1,SERPINA1,TNFSF13B,TYROBP"
A1_L1_1,KEGG_2021_Human,Coronavirus disease,0.00027858237497474964,0.0027858237497474965,5/232,"JAK1,RPL17,RPLP0,RPS25,RPSA"
A1_L1_1,KEGG_2021_Human,Ribosome,0.0006508342086911895,0.0032541710434559478,4/158,"RPL17,RPLP0,RPS25,RPSA"
A1_L1_1,Reactome_2022,SARS-CoV-2 Infection R-HSA-9694516,0.0006893407173111101,0.006893407173111101,5/283,"JAK1,MGAT4A,RPS25,RPSA,YWHAB"
A1_L1_0,MSigDB_Hallmark_2020,Myc Targets V1,6.248203367794541e-07,6.248203367794541e-06,7/200,"CNBP,HNRNPC,HSPD1,NPM1,RPLP0,SRSF3,YWHAE"
A1_L1_0,Reactome_2022,Cellular Responses To Stress R-HSA-2262752,9.807828859432867e-06,9.807828859432867e-05,10/722,"AREG,CDK6,FOS,HSP90AA1,RPL22L1,RPLP0,RPS25,RPSA,SOD1,YWHAE"
A1_L1_0,Reactome_2022,Cellular Responses To Stimuli R-HSA-8953897,1.1593014941998203e-05,5.796507470999101e-05,10/736,"AREG,CDK6,FOS,HSP90AA1,RPL22L1,RPLP0,RPS25,RPSA,SOD1,YWHAE"
A1_L1_5,Reactome_2022,Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,2.2470727375708355e-08,2.2470727375708354e-07,7/123,"CD3D,CD8A,KLRB1,KLRD1,KLRF1,SH2D1A,SLAMF7"
A1_L1_5,MSigDB_Hallmark_2020,Allograft Rejection,3.2563848710773666e-08,2.93074638396963e-07,8/200,"CCL5,CD3D,CD8A,GPR65,GZMA,GZMB,KLRD1,PRF1"
A1_L1_5,KEGG_2021_Human,Natural killer cell mediated cytotoxicity,8.829940598880921e-07,8.829940598880921e-06,6/131,"CD48,FCGR3A,GZMB,KLRD1,PRF1,SH2D1A"
A0_L1_6,Reactome_2022,Neutrophil Degranulation R-HSA-6798695,1.1232394297580702e-18,1.1232394297580702e-17,19/468,"ANXA2,CST3,CTSG,CYBB,ELANE,HMGB1,IQGAP1,LYZ,MNDA,MPO,MS4A3,PLAC8,RETN,RNASE2,RNASE3,S100A8,S100A9,SERPINB10,TUBB"
A0_L1_6,Reactome_2022,Innate Immune System R-HSA-168249,1.6981521761793807e-13,8.490760880896903e-13,20/1035,"ANXA2,CST3,CTSG,CYBB,ELANE,HMGB1,HSP90B1,IQGAP1,LYZ,MNDA,MPO,MS4A3,PLAC8,RETN,RNASE2,RNASE3,S100A8,S100A9,SERPINB10,TUBB"
A0_L1_6,Reactome_2022,Immune System R-HSA-168256,3.6528631287076515e-11,1.2176210429025504e-10,23/1943,"ANXA2,CST3,CTSG,CYBB,ELANE,HMGB1,HSP90B1,IQGAP1,IRF8,LYZ,MNDA,MPO,MS4A3,PLAC8,RETN,RNASE2,RNASE3,S100A8,S100A9,SAMHD1,SERPINB10,TNFSF13B,TUBB"
