state_id,drug,n_samples,spearman_rho,p_value,q_value
A0_L1_8,Trametinib (GSK1120212),484,-0.4168,9.236029507546035e-22,2.863169147339271e-18
A0_L1_2,LY294002,86,-0.4019,0.00012522886118712092,0.004795194219912878
A0_L1_8,Motesanib (AMG-706),450,-0.4003,9.47297785200848e-19,1.9577487560817525e-15
A1_L1_2,Metformin,43,-0.3854,0.01070835488069321,0.11233807150642625
A0_L1_9,Perhexiline maleate,37,-0.3803,0.020248204248041985,0.15951571326284666
A0_L1_4,SB-203580,85,-0.3712,0.0004694642474995111,0.012454152367358928
A0_L1_9,Ralimetinib (LY2228820),42,-0.3694,0.01605279971496811,0.13998221973671207
A0_L1_8,Selumetinib (AZD6244),456,-0.3692,3.576962149494475e-16,4.435433065373149e-13
A1_L1_10,BMS-754807,41,-0.3613,0.02030303885070604,0.15974472192179878
A0_L1_2,Elesclomol,431,-0.3542,3.482849894940464e-14,2.3992965942923193e-11
A0_L1_8,Linifanib (ABT-869),453,-0.3505,1.5242555793120086e-14,1.3500549416763502e-11
A0_L1_8,JNJ-28312141,316,-0.3503,1.4895535745360255e-10,4.860648506380715e-08
A0_L1_8,Rapamycin,466,-0.3481,1.0062813268946639e-14,1.0398240377911526e-11
A0_L1_2,Selumetinib (AZD6244),456,-0.3434,4.6101883399393545e-14,2.8583167707623997e-11
A0_L1_2,Panobinostat,286,-0.3426,2.6896194683452694e-09,6.948183626558612e-07
A3_L1_5,Ranolazine,45,-0.3419,0.02152401270898405,0.166179139411859
A0_L1_8,Axitinib (AG-013736),476,-0.3414,1.8655286692454838e-14,1.44578471866525e-11
A0_L1_8,17-AAG (Tanespimycin),449,-0.3384,1.7283391122351223e-13,9.741547723507052e-11
A1_L1_8,BMS-754807,41,-0.3366,0.03140760182831155,0.2047603904684875
A3_L1_7,Ranolazine,45,-0.3346,0.024647681135632468,0.17958667749386095
A0_L1_2,Motesanib (AMG-706),450,-0.3341,3.3983549128177153e-13,1.7558167049558195e-10
A1_basin_edge_0,GSK-2879552,84,-0.3262,0.0024569101321444504,0.04161978912375845
A1_L1_10,Metformin,43,-0.3171,0.0383054145036264,0.22974832142620835
A0_L1_8,Nilotinib,472,-0.3164,1.9665498628804092e-12,9.378930115275798e-10
A0_L1_2,PLX-4720,88,-0.3109,0.0031985900936912994,0.048966070570089025
A0_L1_2,MK-2206,448,-0.3092,2.2089734681891178e-11,8.559772189232832e-09
A0_L1_8,INK-128,458,-0.3083,1.5312047214832666e-11,6.328979515464168e-09
A0_L1_2,Nilotinib,472,-0.3083,7.520127606021849e-12,3.3303422255239612e-09
A2_L1_4,Venetoclax,367,-0.3071,1.8610998589455717e-09,5.016877880635888e-07
A2_L1_7,BMS-754807,41,-0.3061,0.05159952538089768,0.26974456775848704
A0_L1_8,Ralimetinib (LY2228820),42,-0.3057,0.048954919209455224,0.26301603041475075
A2_L1_7,GSK-2879552,84,-0.3024,0.005183327377883089,0.06931796630397885
A0_L1_8,PRT062607,447,-0.3004,8.965208339423694e-11,3.088016205801494e-08
A3_L1_3,GSK-2879552,84,-0.2987,0.005788335809808199,0.07492492674307298
A3_L1_13,XMD 8-87,45,-0.2983,0.04656581195673644,0.2543683120103664
A0_L1_4,Lestaurtinib (CEP-701),84,-0.2937,0.006698435191917336,0.08339417307206322
A1_L1_6,Venetoclax,367,-0.2919,1.2194634350805491e-08,2.580437083840908e-06
A0_L1_8,Cediranib (AZD2171),454,-0.2908,2.6851039489694647e-10,8.323822241805341e-08
A1_L1_8,Venetoclax,367,-0.2895,1.614211880162838e-08,3.1275355178154984e-06
A0_L1_8,Panobinostat,286,-0.2888,6.754760640579808e-07,6.979919328599135e-05
A0_L1_8,Dasatinib,493,-0.2876,7.612476676769825e-11,2.7763150232925246e-08
A0_L1_9,PH-797804,45,-0.2854,0.057405351898502106,0.28513307559055984
A1_L1_14,KN93,86,-0.2827,0.008357872478893923,0.09777133843234401
A2_L1_7,Ranolazine,45,-0.2814,0.06111945644035681,0.29503856459141997
A2_L1_4,GSK-2879552,84,-0.281,0.009630585098490295,0.1060561769283123
A0_L1_2,Cediranib (AZD2171),454,-0.2806,1.16078699000542e-09,3.271308790015274e-07
A1_L1_4,Ralimetinib (LY2228820),42,-0.2804,0.07202655396860061,0.3241487418424713
A3_L1_8,Elesclomol,431,-0.2783,4.154274456376862e-09,9.539445047976498e-07
A1_L1_6,Sorafenib,494,-0.2774,3.5322535323435183e-10,1.042855804787134e-07
A0_L1_2,Tandutinib (MLN518),83,-0.2771,0.01121648572482796,0.11363106453257084
A0_L1_6,Staurosporine,89,-0.2762,0.008783796914033866,0.10056448983408356
A0_L1_8,MK-2206,448,-0.2754,3.0493113552858765e-09,7.562292161108974e-07
A1_L1_9,Perhexiline maleate,37,-0.2745,0.10009364274616696,0.3849177958812075
A1_L1_14,PP2,85,-0.2735,0.01131879709318483,0.11429404230903249
A0_L1_4,SB-202190,85,-0.2735,0.01131879709318483,0.11429404230903249
A2_L1_4,PLX-4720,88,-0.2718,0.010429089520569389,0.11197577288012027
A1_L1_4,PH-797804,45,-0.2681,0.07495706580511978,0.32889606820713957
A0_L1_8,OTX-015,292,-0.2671,3.6781565973392297e-06,0.00028866545447472436
A0_L1_8,PH-797804,45,-0.2656,0.0778207024671786,0.3357608596357045
A0_L1_2,Trametinib (GSK1120212),484,-0.265,3.198848173525613e-09,7.628022567638001e-07
A0_L1_8,KI20227,405,-0.2633,7.52000885872721e-08,1.0596376119115613e-05
A1_L1_2,BMS-754807,41,-0.2629,0.09681556771273636,0.379668892991123
A0_L1_4,JNK Inhibitor II,82,-0.2629,0.017022891927079554,0.14391167020421688
A2_L1_7,NVP-AEW541,44,-0.2627,0.08490109777181684,0.35204393536583184
A3_L1_8,Ralimetinib (LY2228820),42,-0.2599,0.09651538733538641,0.3793922546828316
A0_L1_9,Ranolazine,45,-0.2595,0.08513858108437436,0.3523759697751142
A2_L1_7,AT-101,85,-0.2581,0.017092141659971964,0.143982715070416
A0_L1_2,Flavopiridol,451,-0.258,2.735433360971658e-08,4.803901201136013e-06
A0_L1_8,Crenolanib,446,-0.2579,3.301835400748071e-08,5.387205127536326e-06
A0_L1_2,Rapamycin,466,-0.2573,1.7583275435470664e-08,3.3035244757550945e-06
A1_L1_6,GSK-2879552,84,-0.2568,0.018349771239494116,0.1497910888752451
A3_L1_7,Perhexiline maleate,37,-0.2568,0.1250217394745785,0.4265131045075891
A1_L1_14,PLX-4720,88,-0.2552,0.01640190777812249,0.1412071503817785
A1_L1_0,XMD 8-87,45,-0.2538,0.09252548778876371,0.370819666638872
A1_L1_0,Ranolazine,45,-0.2537,0.09264510752620757,0.3710592161902371
A0_L1_2,Linifanib (ABT-869),453,-0.2524,5.151424171708795e-08,7.789958503559642e-06
A1_L1_14,KN92,85,-0.2523,0.019855751605272334,0.157625684958628
A2_L1_0,Cytarabine,329,-0.2505,4.230973366667016e-06,0.000323852282386858
A2_L1_0,Venetoclax,367,-0.2505,1.173227287627419e-06,0.00011021226035287875
A2_L1_4,LY-333531,415,-0.2504,2.353428194778655e-07,2.9182509615255322e-05
A3_L1_8,PH-797804,45,-0.2503,0.09721043791177045,0.38025534072743017
A0_L1_2,OTX-015,292,-0.2497,1.580948367076293e-05,0.0009879161807221418
A1_L1_16,Selumetinib (AZD6244),456,-0.2487,7.36554559229497e-08,1.0596376119115613e-05
A0_L1_8,Tandutinib (MLN518),83,-0.2469,0.024445641185950533,0.17872992376520436
A0_L1_8,GDC-0941,424,-0.2461,2.8682921772995664e-07,3.3553606602372285e-05
A0_L1_4,p38 MAP Kinase Inhibitor,85,-0.2461,0.023161628250653002,0.17372978939645176
A2_L1_4,AMPK Inhibitor,85,-0.2457,0.023399308856028537,0.17372978939645176
A0_L1_8,Cytarabine,329,-0.2456,6.576090167255382e-06,0.0004686409084710732
A0_L1_8,LY294002,86,-0.2455,0.022699377405042652,0.1710038152020224
A0_L1_9,LY294002,86,-0.2454,0.022742425822288973,0.1711201942939219
A1_basin_edge_0,Venetoclax,367,-0.2444,2.1564307481855565e-06,0.0001883080371654993
A1_L1_2,AT-101,85,-0.2442,0.024287951062530688,0.17799680447717525
A3_L1_3,Venetoclax,367,-0.243,2.485189160039337e-06,0.00020821855124653903
A0_L1_8,Pazopanib (GW786034),467,-0.2429,1.0731052869392053e-07,1.4463592997876245e-05
A1_L1_8,Etomoxir,44,-0.2425,0.11276226183863196,0.40584352939611135
A0_L1_4,Go6976,85,-0.2417,0.0258183627862065,0.1843640935625514
A1_L1_16,MK-2206,448,-0.2414,2.326482662888145e-07,2.9182509615255322e-05
A2_L1_4,Sorafenib,494,-0.2399,6.741890946037193e-08,9.952315206054904e-06
A1_L1_6,Cabozantinib,450,-0.2395,2.712562825461872e-07,3.234209522666078e-05
A2_L1_4,Dovitinib (CHIR-258),455,-0.239,2.4756197406742296e-07,3.009576939643181e-05
A2_L1_0,Indisulam,117,-0.2359,0.010439031729791859,0.11197577288012027
A2_L1_4,Erlotinib,485,-0.2355,1.5445493294696678e-07,2.0374906048323277e-05
A0_L1_2,SB-203580,85,-0.235,0.03041993050077682,0.20169008372051342
A0_L1_11,NVP-AEW541,44,-0.2348,0.12506464903141887,0.4265131045075891
A0_L1_11,Metformin,43,-0.2309,0.13622828220912717,0.44618703030657575
A2_L1_3,XMD 8-87,45,-0.2306,0.12756448885521812,0.4326585508218557
A3_L1_1,Perhexiline maleate,37,-0.23,0.17091959433030804,0.4958576940143556
A1_L1_16,Rapamycin,466,-0.2296,5.421160088209274e-07,5.797834638056937e-05
A0_L1_8,Foretinib (XL880),453,-0.2282,9.205203902432317e-07,9.059089554774662e-05
A0_L1_2,Dasatinib,493,-0.2266,3.6833470963083303e-07,4.152136726747572e-05
A1_L1_14,SB-203580,85,-0.2252,0.03822083547753921,0.22974832142620835
A0_L1_8,Regorafenib (BAY 73-4506),450,-0.225,1.4253971169184396e-06,0.00013190241977454215
A0_L1_8,CI-1040 (PD184352),461,-0.2246,1.1048763636260439e-06,0.00010538820699202264
A0_L1_8,MGCD-265,448,-0.223,1.8633267117947687e-06,0.0001674293567119937
A2_L1_4,NF-kB Activation Inhibitor,441,-0.2225,2.3702723099462487e-06,0.00020131079892694167
A1_L1_3,PH-797804,45,-0.2224,0.1420040587680144,0.45673507403747676
A1_L1_6,Regorafenib (BAY 73-4506),450,-0.2216,2.063370421568068e-06,0.0001827556659103146
A3_L1_13,AKT Inhibitor IV,83,-0.2216,0.04408399966853454,0.24670586550697443
A1_L1_13,PH-797804,45,-0.2214,0.1438161440400102,0.46033045588438987
A0_L1_11,BMS-754807,41,-0.2213,0.16442872978895592,0.48871434548970605
A3_L1_8,Bortezomib (Velcade),463,-0.2209,1.5857450879592107e-06,0.00014458264037275158
A1_L1_3,Go6976,85,-0.22,0.043063445163437845,0.2447235197188952
A0_L1_8,Go6976,85,-0.2194,0.04364058961651672,0.24597423238400332
A3_L1_8,SB-203580,85,-0.2191,0.04394874677934698,0.24636729659308435
A2_L1_7,Metformin,43,-0.219,0.15830130369907902,0.4808483578307614
A1_L1_16,JNK Inhibitor II,82,-0.2188,0.0482274531485503,0.26114428779127674
A1_L1_16,Panobinostat,286,-0.2182,0.0002002685741315683,0.006604601912849593
A3_L1_9,XMD 8-87,45,-0.2177,0.15092549830761479,0.47023368090138995
A0_L1_8,Tivozanib (AV-951),448,-0.2175,3.3866460443470295e-06,0.00026919494198655874
A3_L1_8,PLX-4720,88,-0.2174,0.04189432948401635,0.24089492029097498
A0_L1_8,PLX-4720,88,-0.2173,0.041945378673653375,0.24089492029097498
A0_L1_9,Lovastatin,134,-0.2171,0.011729451848912671,0.11691736569655717
A1_L1_6,Dovitinib (CHIR-258),455,-0.217,2.9913034548817423e-06,0.0002440273871087737
A1_L1_14,LY294002,86,-0.2166,0.04519811107355481,0.24975783302677343
A3_L1_13,BLZ945,45,-0.2157,0.1547619107129626,0.4757183175113377
A2_L1_3,Lovastatin,134,-0.2152,0.012532488625405094,0.12084203651245969
A1_basin_edge_0,Lenalidomide,265,-0.2145,0.0004375192266501666,0.012018720286023786
A3_L1_7,BLZ945,45,-0.2145,0.15709778304082067,0.47873539164017964
A2_L1_0,AT-101,85,-0.2139,0.049320426664211256,0.2636691622588497
A0_L1_11,AT-101,85,-0.2133,0.05000578398123676,0.2659738955245017
A0_L1_2,Bortezomib (Velcade),463,-0.2129,3.792298126998803e-06,0.00029390310484240725
A3_L1_8,Selumetinib (AZD6244),456,-0.2126,4.668898286969047e-06,0.00035301426072204987
A0_L1_6,LY294002,86,-0.2121,0.049897913870119,0.26577926631850324
A1_L1_9,SB-202190,85,-0.2114,0.052168043394237064,0.27134384986935384
A2_L1_12,JNK Inhibitor II,82,-0.2114,0.05656653950977247,0.28283269754886237
A2_L1_4,KW-2449,449,-0.2114,6.222382983670859e-06,0.00045386793527952147
A3_L1_5,Perhexiline maleate,37,-0.211,0.2099929999456658,0.5461227347580235
A0_L1_8,BEZ235,449,-0.211,6.532993626638081e-06,0.0004686409084710732
A2_L1_9,Metformin,43,-0.2082,0.18025164206506458,0.5052785611459352
A1_L1_6,KW-2449,449,-0.2069,9.866812604486355e-06,0.0006951617971342658
A1_L1_3,BLZ945,45,-0.2061,0.17445597526091888,0.5000085376836179
A0_L1_6,Birinapant,86,-0.2059,0.05724045299935764,0.28482408394543934
A0_L1_13,Ranolazine,45,-0.2058,0.17508833885346525,0.5010937437887958
A1_L1_6,BMS-754807,41,-0.2056,0.19722611717689084,0.5306223132112665
A3_L1_13,Ranolazine,45,-0.2051,0.17650428953769987,0.5022150505432488
A1_L1_16,17-AAG (Tanespimycin),449,-0.2041,1.3030430649625554e-05,0.0008686953766417037
A2_L1_4,AZD1152-HQPA (AZD2811),455,-0.2038,1.1787880985515117e-05,0.000812054023446597
A1_basin_edge_0,Artemisinin,196,-0.2038,0.004169730662210463,0.059001042024651396
A1_L1_10,Indisulam,117,-0.2036,0.02768320015476713,0.19198639928361994
A0_L1_8,Saracatinib (AZD0530),450,-0.2031,1.411454921125454e-05,0.000911564636560189
A2_L1_9,BMS-754807,41,-0.2027,0.20370146518785728,0.5374137219231389
A1_L1_9,SNS-032 (BMS-387032),458,-0.2016,1.379846580799162e-05,0.0009005314527320847
A3_L1_8,Panobinostat,286,-0.2004,0.0006531818858638808,0.015943809812425436
A2_L1_0,Dovitinib (CHIR-258),455,-0.2003,1.6759379263835608e-05,0.0010088170042308812
A2_L1_4,NVP-TAE684,451,-0.1998,1.9137801846705167e-05,0.0011089193593417947
A1_L1_16,YM-155,459,-0.1998,1.609347326660263e-05,0.0009879161807221418
A3_L1_9,Venetoclax,367,-0.1997,0.00011760950042905057,0.0046316390425466475
A3_L1_8,Motesanib (AMG-706),450,-0.1995,2.0221885866698663e-05,0.0011502357098489148
A1_L1_8,LY-333531,415,-0.1993,4.3314287377492055e-05,0.0021657143688746027
A1_L1_12,BMS-754807,41,-0.1989,0.2125441551008911,0.5501652681148301
A1_L1_3,Ralimetinib (LY2228820),42,-0.1988,0.20697496499044213,0.5428277423607196
A1_L1_14,AKT Inhibitor IV,83,-0.1988,0.07159706701251105,0.32260306357381435
A0_L1_2,BI-2536,110,-0.198,0.0381454214959201,0.22974832142620835
A1_L1_6,Lenalidomide,265,-0.198,0.0011922956079739987,0.024628588585726367
A3_L1_7,Staurosporine,89,-0.1978,0.06310698855941957,0.29935985391614484
A1_L1_3,LY294002,86,-0.1978,0.06789504449934401,0.31195629546822584
A1_L1_14,Tandutinib (MLN518),83,-0.1973,0.07385602939593726,0.32637732163564576
A2_L1_4,RAF265 (CHIR-265),450,-0.1972,2.512372650772941e-05,0.0014070396167988335
A1_L1_16,Motesanib (AMG-706),450,-0.1971,2.5417489851849897e-05,0.0014070396167988335
A1_L1_16,GDC-0941,424,-0.1962,4.739483921012962e-05,0.0023137638039590837
A1_L1_10,GSK-2879552,84,-0.1959,0.07418271741634924,0.3270314670891132
A1_L1_0,Dasatinib,493,-0.1957,1.2078891900129683e-05,0.0008229574701187257
A3_L1_8,Nilotinib,472,-0.1956,1.875963586651675e-05,0.001097261720494376
A1_L1_1,SB-202190,85,-0.1956,0.07274828831297835,0.32477832788016553
A2_L1_4,KN93,86,-0.1955,0.07128574445955523,0.3219300985728847
A0_L1_8,AZD1480,456,-0.1955,2.6189035944893007e-05,0.0014369205562684657
A1_L1_14,Panobinostat,286,-0.1953,0.0009007974135557849,0.02016225257778291
A1_L1_8,Dovitinib (CHIR-258),455,-0.1952,2.7656218170304096e-05,0.001491030892659873
A0_L1_2,PHT-427,448,-0.1951,3.2139824075171524e-05,0.0016887026208988428
A0_L1_6,SB-202190,85,-0.195,0.0736404357542563,0.32588915180327555
A1_L1_5,GSK-2879552,84,-0.1949,0.0756767520756952,0.3299729754100534
A0_L1_8,YM-155,459,-0.1946,2.684707354406378e-05,0.0014601039997648722
A1_L1_16,Ralimetinib (LY2228820),42,-0.1942,0.2177439584539554,0.5571612307936235
A1_L1_7,Ponatinib (AP24534),301,-0.1941,0.0007079896975826735,0.016753954675620516
A2_L1_0,PH-797804,45,-0.1939,0.20176629628134055,0.5363301296457704
A1_L1_9,SB-203580,85,-0.1937,0.07566439576636147,0.3299729754100534
A0_L1_9,Elesclomol,431,-0.1936,5.2048863713061616e-05,0.002482330423238323
A1_L1_16,Trametinib (GSK1120212),484,-0.1935,1.8217425391198295e-05,0.0010756955945278991
A0_L1_8,Cabozantinib,450,-0.1931,3.745070027757208e-05,0.0019349528476745573
A1_L1_15,XMD 8-87,45,-0.193,0.20396078453753844,0.5374137219231389
A0_L1_9,TG101348,85,-0.1924,0.07774953573171081,0.3356874105408127
A2_L1_4,Cabozantinib,450,-0.1921,4.093150675643236e-05,0.0020632141617063465
A0_L1_4,Metformin,43,-0.192,0.21731205464203734,0.5571033455320585
A0_L1_8,Midostaurin,462,-0.1916,3.396927292239464e-05,0.0017698276648642586
A0_L1_8,Bosutinib (SKI-606),456,-0.1916,3.8047316283951175e-05,0.0019495319087644404
A0_L1_8,Idelalisib,444,-0.1914,4.9214490131509814e-05,0.0023838268657450064
A3_L1_3,Dovitinib (CHIR-258),455,-0.1911,4.076490415616372e-05,0.0020632141617063465
A3_L1_3,LY-333531,415,-0.1907,9.28444231281073e-05,0.0038633249892232563
A1_L1_12,Staurosporine,89,-0.1893,0.07568020073683894,0.3299729754100534
A3_L1_1,Birinapant,86,-0.1893,0.08088726950781294,0.3444163326574493
A2_L1_4,Azacytidine,367,-0.1893,0.00026494850765729753,0.008172541032215147
A1_L1_1,p38 MAP Kinase Inhibitor,85,-0.1892,0.08286009409830118,0.34762755104141246
A1_L1_6,Ponatinib (AP24534),301,-0.1886,0.00101100685201924,0.022149266722682994
A1_L1_6,AGI-5198,299,-0.1886,0.0010512515425142132,0.022652351454518195
A3_L1_7,LY294002,86,-0.1881,0.08292599161133049,0.34762755104141246
A2_L1_4,Midostaurin,462,-0.1875,5.0141451574081385e-05,0.002409899222940346
