drug,conn_score,n_sigs,state_id
manumycin-a,-39.50346865090256,2,A0_L1_6
narciclasine,-36.48218591908989,2,A0_L1_6
CD-437,-36.0937968902694,4,A0_L1_6
penfluridol,-35.625762534637346,1,A0_L1_6
SU-11652,-35.4137137666018,1,A1_L1_4
SU-11652,-35.32742072418454,1,A0_L1_6
CD-1530,-35.076550836212476,2,A0_L1_6
AKT-inhibitor-IV,-34.97454406092923,1,A0_L1_6
manumycin-a,-33.82823282829013,2,A1_L1_4
importazole,-32.64470043236301,3,A0_L1_6
COT-10b,-30.802868818820492,4,A0_L1_6
BRD-K56411643,-30.606321909100316,2,A0_L1_6
SCH-79797,-30.5141992285522,4,A0_L1_6
LDN-193189,-30.1975787628279,1,A0_L1_6
pyrvinium-pamoate,-30.192769237247344,4,A0_L1_6
KO-143,-29.586192170270834,4,A0_L1_6
narciclasine,-29.57759342845653,2,A1_L1_4
PIK-75,-29.24290570262624,3,A0_L1_6
SCH-79797,-29.149817804197482,4,A1_L1_4
AKT-inhibitor-IV,-28.95163217346924,1,A1_L1_4
CD-437,-28.858479306980964,4,A1_L1_4
PIK-75,-28.79682092699078,3,A1_L1_4
COT-10b,-28.760497695036953,4,A1_L1_4
PJ-34,-28.413953870875908,4,A0_L1_6
ixazomib,-28.38503018931806,4,A0_L1_6
importazole,-28.158261925727953,3,A1_L1_4
CD-1530,-28.101606981359346,2,A1_L1_4
penfluridol,-28.006230258319924,1,A1_L1_4
BRD-A36275421,-27.526529205236923,2,A0_L1_6
trichostatin-a,-27.36105731866531,20,A0_L1_6
LDN-193189,-26.813674376989628,1,A1_L1_4
CHEMBL-399379,-26.352947548376466,3,A1_L1_4
auranofin,-26.21942674281112,4,A0_L1_6
AG-14361,-25.867623716203667,4,A1_L1_4
pyrvinium-pamoate,-25.79414149395069,4,A1_L1_4
auranofin,-24.963065714893435,4,A1_L1_4
BRD-K56411643,-24.08736541753646,2,A1_L1_4
menadione,-23.440463571548026,4,A1_L1_4
trichostatin-a,-22.958495820154816,20,A1_L1_4
ixazomib,-22.709486948851797,4,A1_L1_4
SU-11652,-21.375481291789253,1,A0_L1_2
PIK-75,-20.904634152370818,3,A0_L1_2
AKT-inhibitor-IV,-19.994052482677528,1,A0_L1_2
SKI-II,-19.723712002646614,4,A1_L1_16
SB-216763,-19.673590964614263,4,A1_L1_16
importazole,-19.491141987645392,3,A0_L1_2
narciclasine,-19.016627824333476,2,A0_L1_4
manumycin-a,-18.713834582629374,2,A0_L1_2
flutamide,-18.63763779866516,4,A0_L1_2
BRD-A56001686,-18.326047473662726,2,A0_L1_2
penfluridol,-18.203254910327026,1,A0_L1_2
phorbol-myristate-acetate,-18.168240841150304,15,A0_L1_4
triptolide,-18.065464478833235,4,A0_L1_2
SCH-79797,-18.008942464145242,4,A1_L1_9
CHEMBL-399379,-17.949296038986652,3,A1_L1_16
COT-10b,-17.808050962865867,4,A0_L1_4
BRD-K56411643,-17.68411270779259,2,A0_L1_2
penfluridol,-17.63636262421906,1,A1_L1_16
pyrvinium-pamoate,-17.47635637754687,4,A3_L1_4
SB-216763,-17.434127199350606,4,A3_L1_4
SCH-79797,-17.41781251100413,4,A0_L1_4
CD-1530,-17.41487637021794,2,A0_L1_2
PJ-34,-17.405377623517804,4,A0_L1_2
emetine,-17.290646982043285,4,A3_L1_8
LDN-193189,-17.243983089666752,1,A1_L1_16
COT-10b,-17.233030187189534,4,A3_L1_4
PK-11195,-17.220518218917764,4,A0_L1_2
narciclasine,-17.180720551489433,2,A1_L1_15
SN-38,-17.075748306385094,4,A1_L1_15
manumycin-a,-17.033214237206284,2,A0_L1_4
manumycin-a,-16.919339523609576,2,A1_L1_16
pyrvinium-pamoate,-16.917056854270328,4,A1_L1_15
ixazomib,-16.90786841459621,4,A0_L1_2
manumycin-a,-16.792984543000035,2,A3_L1_4
penfluridol,-16.711932941460542,1,A0_L1_4
PIK-75,-16.65283281782491,3,A3_L1_4
SCH-79797,-16.542629671074824,4,A3_L1_4
teniposide,-16.18509375045767,4,A1_L1_15
RLM-2-12,-16.140456863936947,4,A3_L1_1
narciclasine,-16.1262557699607,2,A0_L1_2
methylene-blue,-16.039447901159164,4,A1_L1_16
narciclasine,-15.997242749893708,2,A1_L1_6
SCH-79797,-15.981430759833303,4,A1_L1_6
navitoclax,-15.877760665810381,4,A3_L1_10
pyrvinium-pamoate,-15.862685994422833,4,A1_L1_6
pyrvinium-pamoate,-15.724402102947629,4,A0_L1_4
SU-11652,-15.682768095563663,1,A3_L1_4
narciclasine,-15.653400425506884,2,A1_L1_9
quinine,-15.637096953240675,4,A0_L1_2
SCH-79797,-15.633673045465763,4,A1_L1_15
trichostatin-a,-15.59187307719671,20,A0_L1_4
PRIMA1,-15.548125015155962,4,A3_L1_8
LDN-193189,-15.425862446121169,1,A1_L1_7
AG-14361,-15.349751411375081,4,A3_L1_4
daunorubicin,-15.295166920433818,14,A1_L1_15
evodiamine,-15.275373036171764,4,A3_L1_10
orteronel,-15.268897750659278,4,A3_L1_8
pyrvinium-pamoate,-15.264172265272105,4,A1_L1_16
importazole,-15.204781784100193,3,A1_L1_9
dorsomorphin,-15.195051797562815,4,A0_L1_4
inhibitor-BEC,-15.163738956278081,4,A0_L1_13
AKT-inhibitor-1-2,-15.126535685607639,4,A0_L1_2
SCH-79797,-15.064032514488098,4,A2_L1_4
BRD-A36275421,-15.043866027878696,2,A0_L1_2
CHEMBL-399379,-14.893987229059757,3,A1_L1_15
phorbol-myristate-acetate,-14.847429201543441,15,A1_L1_9
phorbol-myristate-acetate,-14.845985594583071,15,A1_L1_15
CD-1530,-14.819633550792906,2,A0_L1_4
CHEMBL-399379,-14.816411668740159,3,A3_L1_4
COT-10b,-14.798525077812904,4,A1_L1_6
dorsomorphin,-14.795627043809084,4,A1_L1_16
"16,16-dimethylprostaglandin-e2",-14.722406902101127,4,A3_L1_8
phorbol-12-myristate-13-acetate,-14.719682925650527,4,A0_L1_4
penfluridol,-14.67699884276017,1,A3_L1_4
K1448,-14.669598777213675,2,A1_L1_16
manumycin-a,-14.619217077228974,2,A1_L1_6
CD-437,-14.610550985481797,4,A1_L1_16
cytarabine,-14.596822740557956,2,A1_L1_15
narciclasine,-14.576270162529724,2,A0_L1_9
nifedipine,-14.550012087898104,4,A1_L1_16
manumycin-a,-14.511978545596964,2,A2_L1_4
KO-143,-14.497309828232904,4,A0_L1_2
penfluridol,-14.496439813142468,1,A1_L1_6
SCH-79797,-14.480566825900295,4,A3_L1_7
PK-11195,-14.445016297821237,4,A0_L1_8
trichostatin-a,-14.440007308445995,20,A1_L1_6
penfluridol,-14.392166903104501,1,A1_L1_15
CD-437,-14.362540048167837,4,A1_L1_15
nutlin-3,-14.29339857862855,4,A3_L1_8
endo-IWR-1,-14.27670409674607,4,A3_L1_10
MW-STK33-1C,-14.267976719445699,16,A3_L1_10
SU-11652,-14.251717540992495,1,A2_L1_4
importazole,-14.245736741663842,3,A1_L1_7
narciclasine,-14.233301018407914,2,A3_L1_4
BRD-K59019422,-14.18624190428929,4,A1_L1_16
AKT-inhibitor-IV,-14.1282287294519,1,A1_L1_6
7b-cis,-14.101672549282448,4,A3_L1_4
BRD-K05649647,-14.092665040083538,4,A3_L1_4
daunorubicin,-14.067649285541599,14,A1_L1_16
LDN-193189,-14.062556143520444,1,A0_L1_4
TUL-XXI039,-14.042243074184388,16,A3_L1_10
IKK-2-inhibitor-V,-13.925226053018267,4,A1_L1_6
chaetocin,-13.873134088673488,4,A3_L1_10
ixazomib,-13.86738416524452,4,A3_L1_4
COT-10b,-13.77996526319808,4,A1_L1_16
methylene-blue,-13.769094310440005,4,A1_L1_15
LDN-193189,-13.762092682575105,1,A1_L1_9
nutlin-3,-13.691110947364596,4,A3_L1_10
importazole,-13.674386154470735,3,A1_L1_6
SB-216763,-13.671904475348235,4,A0_L1_4
vorinostat,-13.616412781175729,10,A0_L1_4
linsitinib,-13.613019557252798,4,A3_L1_8
CD-437,-13.604556392528192,4,A0_L1_4
LE-135,-13.590357927468833,4,A1_L1_15
CD-437,-13.572343544467838,4,A3_L1_4
GANT-58,-13.54326577411899,4,A0_L1_2
L-690488,-13.466335999032971,4,A1_L1_16
veliparib,-13.437507952564545,4,A1_L1_16
CD-1530,-13.432174292032917,2,A3_L1_4
GANT-58,-13.387585728645774,4,A1_L1_16
kinetin-riboside,-13.376341275708926,4,A3_L1_10
ixazomib,-13.342192107137288,4,A0_L1_4
vemurafenib,-13.314252945633934,4,A3_L1_10
importazole,-13.30832517197347,3,A3_L1_4
AKT-inhibitor-IV,-13.284639780636459,1,A1_L1_16
SU-11652,-13.27948204054119,1,A0_L1_4
CD-1530,-13.250252039491977,2,A1_L1_6
piperlongumine,-13.246862093727518,4,A0_L1_4
kinetin-riboside,-13.22717010317961,4,A3_L1_8
menadione,-13.224457734625506,4,A3_L1_4
serdemetan,-13.200440740170023,4,A1_L1_13
BML-259,-13.194864208406049,4,A3_L1_4
PKCbeta-inhibitor,-13.190554682931293,4,A3_L1_13
dorsomorphin,-13.119159203713707,4,A1_L1_6
COT-10b,-13.092504750034948,4,A1_L1_15
LDN-193189,-13.089869412099251,1,A3_L1_4
narciclasine,-13.087481777278178,2,A2_L1_4
BX-795,-13.080422325484378,4,A3_L1_3
BML-259,-13.076690070446743,4,A1_L1_15
Ro-28-1675,-13.061575563249765,4,A0_L1_4
CD-1530,-13.045048892366811,2,A1_L1_16
importazole,-13.0079102497184,3,A1_L1_13
BX-795,-12.973288025446086,4,A1_L1_14
AC-55649,-12.96925617704054,4,A3_L1_10
endo-IWR-1,-12.960830179325988,4,A3_L1_5
SN-38,-12.948694617648993,4,A3_L1_9
olaparib,-12.932516385026695,4,A3_L1_13
BMS-299897,-12.907792739278632,4,A3_L1_10
teniposide,-12.890018916372444,4,A0_L1_9
Gly-Gly-PALO,-12.87576723315822,4,A0_L1_13
BRD-K86574132,-12.83973603471199,4,A3_L1_7
BRD-K28112517,-12.814565368963356,4,A3_L1_10
chaetocin,-12.787197757454951,4,A3_L1_8
MW-STK33-1C,-12.786317214239157,16,A3_L1_8
verapamil,-12.783318405074041,4,A0_L1_13
PIK-75,-12.76700981004591,3,A2_L1_4
serdemetan,-12.764248275498169,4,A3_L1_13
BMS-754807,-12.70844106025007,4,A2_L1_4
BRD-K56411643,-12.68496809823988,2,A2_L1_4
YM-155,-12.629405322566186,4,A3_L1_5
SN-38,-12.615306652377438,4,A1_L1_6
inhibitor-BEC,-12.56478415230772,4,A3_L1_13
piperlongumine,-12.557763628846558,4,A1_L1_6
CHEMBL-399379,-12.550762725445432,3,A0_L1_4
CD-437,-12.532662073813839,4,A1_L1_6
AR-C133057XX,-12.475297350584427,4,A3_L1_10
tosedostat,-12.466241793383261,4,A2_L1_12
PT-630,-12.409095574123437,4,A3_L1_10
trichostatin-a,-12.346428255994294,20,A1_L1_9
elesclomol,-12.321589866759917,4,A3_L1_5
BRD-K92317137,-12.25837415307753,4,A1_L1_15
phorbol-myristate-acetate,-12.257415540694126,15,A2_L1_4
manumycin-a,-12.228361030720205,2,A1_L1_15
NF-449,-12.184522973073047,4,A3_L1_10
AKT-inhibitor-IV,-12.176262338251876,1,A1_L1_0
SN-38,-12.108159951484089,4,A2_L1_9
LDN-193189,-12.09797677938359,1,A3_L1_7
phorbol-myristate-acetate,-12.084301634515807,15,A1_L1_7
IKK3-inhibitor-IX,-12.054533164438443,4,A3_L1_8
BMS-536924,-12.022038636250185,4,A0_L1_11
LDN-193189,-11.970981210012296,1,A2_L1_4
ASN-05257430,-11.941280654768418,4,A0_L1_13
BRD-K05649647,-11.93161012631769,4,A1_L1_15
dorsomorphin,-11.907942021183988,4,A2_L1_4
penfluridol,-11.89574305059882,1,A0_L1_11
BRD-K56411643,-11.895147570833629,2,A1_L1_9
LY-2183240,-11.890715309200822,4,A1_L1_9
emetine,-11.866803752631855,4,A3_L1_10
fluoropyruvate,-11.840400527957467,4,A3_L1_8
COT-10b,-11.823778218909736,4,A2_L1_4
CYT-997,-11.811713614051897,4,A1_L1_7
cyanoquinoline-11,-11.768322928088194,4,A0_L1_8
phenethyl-isothiocyanate,-11.763348978125872,4,A3_L1_10
trichostatin-a,-11.758782179908705,20,A0_L1_9
phorbol-myristate-acetate,-11.743526543093822,15,A3_L1_7
QS-11,-11.727505414836639,4,A1_L1_15
paclitaxel,-11.721238261466283,2,A0_L1_8
BRD-K56411643,-11.7193052594172,2,A1_L1_6
TW-37,-11.709646537130784,4,A1_L1_15
15-delta-prostaglandin-j2,-11.655931087789723,4,A0_L1_9
PX-12,-11.63592191588448,4,A3_L1_7
SN-38,-11.628229368357927,4,A1_L1_9
geldanamycin,-11.61431215686644,20,A2_L1_4
BRD-K28112517,-11.605359697978534,4,A3_L1_8
SU-11652,-11.594245545391214,1,A1_L1_7
orteronel,-11.586703049437965,4,A3_L1_10
IKK3-inhibitor-IX,-11.566284193764965,4,A3_L1_10
emetine,-11.543036467507182,4,A3_L1_3
BRD-K05649647,-11.535659054684835,4,A2_L1_4
FK-866,-11.510281002260157,4,A3_L1_10
trichostatin-a,-11.508954811354212,20,A2_L1_4
PIK-75,-11.433710450211992,3,A1_L1_6
PJ-34,-11.327881161032751,4,A0_L1_11
tosedostat,-11.320568160749051,4,A3_L1_3
SU-11652,-11.317994798457933,1,A3_L1_7
CD-1530,-11.284507758483638,2,A0_L1_9
vorinostat,-11.253817295635638,10,A1_L1_9
navitoclax,-11.252956592309644,4,A3_L1_8
DC-45-A2,-11.23573499934834,4,A1_L1_9
vorinostat,-11.222548896965886,10,A0_L1_9
IKK3-inhibitor-IX,-11.177128265884226,4,A1_L1_14
brefeldin-a,-11.155867476486835,4,A2_L1_4
tolazamide,-11.146788854694297,4,A3_L1_8
CYT-997,-11.132957933143441,4,A3_L1_7
BMS-299897,-11.129815977589459,4,A0_L1_13
BX-795,-11.110476096395217,4,A3_L1_5
manumycin-a,-11.088716236773005,2,A1_L1_9
CD-1530,-11.087125531275056,2,A2_L1_4
SCH-79797,-11.07311858700471,4,A1_L1_7
methiazole,-11.023007983906437,6,A3_L1_8
GW-405833,-11.020556611893408,4,A2_L1_9
paclitaxel,-11.012185084529966,2,A3_L1_8
pyrvinium-pamoate,-11.002359251047398,4,A2_L1_4
K1448,-11.001491575288913,2,A3_L1_13
AKT-inhibitor-IV,-10.999095346466602,1,A2_L1_4
PX-12,-10.984055174377886,4,A1_L1_7
AZD-8055,-10.946140436149767,4,A0_L1_11
penfluridol,-10.90172438556299,1,A2_L1_4
orteronel,-10.893154301060957,4,A3_L1_5
KU-0060648,-10.892361654993397,4,A0_L1_8
manumycin-a,-10.88487938866388,2,A0_L1_8
daunorubicin,-10.866952084991617,14,A1_L1_6
NU-1025,-10.844298303077313,4,A0_L1_13
ISOX,-10.843426997432235,4,A0_L1_13
AR-C133057XX,-10.82883039429895,4,A3_L1_8
daunorubicin,-10.828678008371405,14,A1_L1_9
AKT-inhibitor-IV,-10.810874137456757,1,A1_L1_7
dalcetrapib,-10.805824584771518,4,A1_L1_14
LY-2183240,-10.803710652785226,4,A3_L1_9
bisindolylmaleimide,-10.798879008216854,4,A3_L1_13
cucurbitacin-i,-10.79274919274763,3,A0_L1_9
nifedipine,-10.787915075617633,4,A1_L1_5
cyclosporin-a,-10.778065917170764,4,A2_L1_4
cytarabine,-10.776420658274276,2,A1_L1_6
PX-12,-10.77590352277438,4,A1_L1_13
cytarabine,-10.748082847479546,2,A0_L1_9
niclosamide,-10.739129855781712,4,A1_L1_7
tosedostat,-10.737779764169087,4,A1_L1_6
idarubicin,-10.737571329713253,4,A0_L1_9
cytarabine,-10.723490851984156,2,A3_L1_7
kinetin-riboside,-10.722998835188644,4,A1_L1_8
vemurafenib,-10.70334073913324,4,A3_L1_1
importazole,-10.69973131430751,3,A3_L1_7
nifedipine,-10.695421982672041,4,A3_L1_1
HLI-373,-10.657821686826939,4,A3_L1_8
vorinostat,-10.62422409210044,10,A1_L1_7
narciclasine,-10.610990419514916,2,A1_L1_7
cytarabine,-10.595977913616446,2,A1_L1_13
TUL-XXI039,-10.53829582955856,16,A3_L1_8
tolazamide,-10.529250875962916,4,A1_L1_14
BRD-K05402890,-10.522243319153809,4,A3_L1_1
bisindolylmaleimide,-10.52033336570745,4,A1_L1_13
pyrvinium-pamoate,-10.504524994759105,4,A1_L1_7
RLM-2-12,-10.500085743462122,4,A1_L1_14
BRD-K78716413,-10.428334179310662,4,A1_L1_13
BRD-A56001686,-10.403204665051804,2,A0_L1_11
methylene-blue,-10.396409424773951,4,A0_L1_9
paclitaxel,-10.370903586299733,2,A1_L1_14
PIK-75,-10.362183927144205,3,A1_L1_7
BRD-K86682249,-10.35776337385239,4,A0_L1_11
BRD-K05402890,-10.35049040473483,4,A3_L1_5
SU-11652,-10.348670515690662,1,A1_L1_9
niclosamide,-10.341727457166936,4,A0_L1_8
cyclosporin-a,-10.319838820001051,4,A2_L1_12
isoliquiritigenin,-10.304040074212296,4,A3_L1_5
BMS-299897,-10.293221228832074,4,A2_L1_0
BRD-A36275421,-10.288447691240192,2,A1_L1_9
BRD-K28112517,-10.283676419115906,4,A3_L1_5
