state_id,logrank_p,n_high,n_low,median_OS_high,median_OS_low,logrank_q
A1_L1_8,0.008792163752066826,66,66,304.5,487.5,0.37691886525237267
A3_L1_8,0.01638777675010316,66,66,334.5,426.5,0.37691886525237267
A0_L1_3,0.08081667436493496,66,66,381.0,365.5,0.6688663283741271
A1_L1_2,0.08330345743719703,66,66,319.5,425.5,0.6688663283741271
A0_L1_8,0.0896197946161345,66,66,319.5,456.0,0.6688663283741271
A0_L1_2,0.09665963579730576,66,66,319.5,425.5,0.6688663283741271
A2_L1_12,0.10405624531885223,66,66,410.0,334.5,0.6688663283741271
A2_L1_0,0.12458816791848301,66,66,335.0,577.0,0.6688663283741271
A1_L1_10,0.13086515120363357,66,66,350.0,439.5,0.6688663283741271
A2_L1_9,0.20839921508844123,66,66,487.5,304.5,0.7442515108323873
A2_L1_15,0.2343303087235833,66,66,350.0,393.0,0.7442515108323873
A1_L1_0,0.24167793083612765,66,66,365.0,502.5,0.7442515108323873
A1_L1_12,0.24508648829532415,66,66,335.0,472.0,0.7442515108323873
A1_basin_edge_0,0.2709699945345343,66,66,393.0,365.5,0.7442515108323873
A0_L1_11,0.2892717494820552,66,66,426.5,289.5,0.7442515108323873
A3_L1_0,0.29273574072021297,66,66,365.5,455.5,0.7442515108323873
A3_L1_13,0.30387141066594797,66,66,365.0,379.5,0.7442515108323873
A1_L1_4,0.3109239833891777,66,66,350.0,393.0,0.7442515108323873
A0_L1_9,0.326458215008103,66,66,320.0,470.5,0.7442515108323873
A1_L1_3,0.3634106263866389,66,66,320.5,547.5,0.7442515108323873
A3_L1_9,0.37012088815259436,66,66,335.0,470.5,0.7442515108323873
A1_L1_7,0.3713452396892182,66,66,365.0,379.5,0.7442515108323873
A0_L1_4,0.38909241635415115,66,66,410.0,349.5,0.7442515108323873
A1_L1_6,0.38949179904803233,66,66,394.5,349.5,0.7442515108323873
A0_L1_13,0.41996127151771023,66,66,379.0,366.0,0.7442515108323873
A2_L1_7,0.4246713957268239,66,66,365.0,379.5,0.7442515108323873
A1_L1_13,0.43684327809727086,66,66,365.0,379.5,0.7442515108323873
A2_L1_4,0.4564291094701337,66,66,365.5,379.5,0.7498478227009339
A1_L1_9,0.5107805214784782,66,66,410.0,334.5,0.8102035857934481
A1_L1_5,0.5600555376757199,66,66,349.5,394.5,0.8254228368681856
A3_L1_3,0.5815256575355732,66,66,365.0,440.5,0.8254228368681856
A0_L1_6,0.5832292207987082,66,66,350.5,379.5,0.8254228368681856
A1_L1_16,0.5921511655793505,66,66,350.0,379.5,0.8254228368681856
A1_L1_14,0.6110234245983448,66,66,393.0,350.5,0.8266787509271725
A3_L1_14,0.6607668900601837,66,66,393.0,350.5,0.8489231376422243
A3_L1_1,0.6820921858556186,66,66,379.0,366.0,0.8489231376422243
A3_L1_10,0.6920897305822746,66,66,440.0,320.5,0.8489231376422243
A2_L1_10,0.7119656202665845,66,66,408.5,319.5,0.8489231376422243
A3_L1_5,0.7197391819140597,66,66,350.0,410.0,0.8489231376422243
A1_L1_15,0.7547904080821696,66,66,365.5,379.5,0.868008969294495
A1_L1_11,0.7973432290799607,66,66,379.0,366.0,0.8921299954962588
A2_L1_3,0.8237774924724589,66,66,366.0,411.0,0.8921299954962588
A3_L1_7,0.847526792443646,66,66,335.0,410.0,0.8921299954962588
A3_L1_4,0.8533417348225084,66,66,365.5,379.5,0.8921299954962588
A3_L1_15,0.8838988486478541,66,66,471.5,319.0,0.9032582491121183
A1_L1_1,0.9032582491121183,66,66,379.0,366.0,0.9032582491121183
