gene_symbol	chr
A1BG	19
A1BG-AS1	19
A1CF	10
A2M	12
A2M-AS1	12
A2ML1	12
A2MP1	12
A3GALT2	1
A4GALT	22
A4GNT	3
AA06	17
AAAS	12
AACS	12
AACSP1	5
AADAC	3
AADACL2	3
AADACL2-AS1	HSCHR3_1_CTG2_1
AADACL3	1
AADACL4	1
AADACP1	3
AADAT	4
AAGAB	15
AAK1	2
AAMDC	11
AAMP	2
AANAT	17
AAR2	20
AARD	8
AARS2	6
AARSD1	17
AASDH	4
AASDHPPT	11
AASS	7
AATBC	21
AATF	17
AATK	17
ABALON	20
ABAT	16
ABCA1	9
ABCA10	17
ABCA11P	4
ABCA12	2
ABCA13	7
ABCA17P	16
ABCA2	9
ABCA3	16
ABCA4	1
ABCA5	17
ABCA6	17
ABCA7	19
ABCA8	17
ABCA9	17
ABCA9-AS1	17
ABCB1	7
ABCB10	1
ABCB11	2
ABCB4	7
ABCB5	7
ABCB6	2
ABCB7	X
ABCB8	7
ABCB9	12
ABCC1	16
ABCC10	6
ABCC11	16
ABCC12	16
ABCC13	21
ABCC2	10
ABCC3	17
ABCC4	13
ABCC5	3
ABCC5-AS1	3
ABCC6	16
ABCC6P1	16
ABCC6P2	16
ABCC8	11
ABCC9	12
ABCD1	X
ABCD2	12
ABCD3	1
ABCD4	14
ABCE1	4
ABCF1	6
ABCF2	7
ABCF3	3
ABCG1	21
ABCG2	4
ABCG4	11
ABCG5	2
ABCG8	2
ABHD1	2
ABHD10	3
ABHD11	7
ABHD12	20
ABHD12B	14
ABHD13	13
ABHD14A	3
ABHD14A-ACY1	3
ABHD14B	3
ABHD15	17
ABHD16A	6
ABHD16B	20
ABHD17A	19
ABHD17B	9
ABHD17C	15
ABHD18	4
ABHD2	15
ABHD3	18
ABHD4	14
ABHD5	3
ABHD6	3
ABHD8	19
ABI1	10
ABI2	2
ABI3	17
ABI3BP	3
ABL1	9
ABL2	1
ABLIM1	10
ABLIM2	4
ABLIM3	5
ABO	9
ABR	17
ABRA	8
ABRACL	6
ABRAXAS1	4
ABRAXAS2	10
ABT1	6
ABTB1	3
ABTB2	11
ACAA1	3
ACAA2	18
ACACA	17
ACACB	12
ACAD10	12
ACAD11	3
ACAD8	11
ACAD9	3
ACADL	2
